player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Malcolm Koonce,55015,ED,BUFFALO,6,6,1,100.0,0,0,126,83.6,84.8,62.7,84.4,74.3,51.5,4,17,0,7,22.9,8,1,1,95.8,1,5,1,0,8,333,332,0,0,320,12,0,1,172,153,0,21,21,1,26,0,7,6,7.0
Eric Black,55017,ED,BUFFALO,7,3,0,,1,1,126,64.6,68.2,59.6,77.7,54.4,57.8,2,13,0,,25.0,3,0,1,0.0,0,3,0,0,7,317,316,0,23,269,24,0,1,159,151,1,8,6,0,18,0,0,0,
Frendy Darelus,55018,ED,BUFFALO,1,0,0,,0,0,126,,58.9,76.7,58.4,59.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,31,31,0,0,31,0,0,0,15,16,0,0,0,0,0,0,0,0,
Tim Terry Jr.,55020,LB,BUFFALO,7,4,0,77.8,0,0,126,66.7,60.3,23.6,58.1,54.7,78.0,0,2,0,25,8.0,2,0,1,94.9,7,0,207,3,137,293,8,0,0,8,0,0,285,21,135,75,10,19,9,2,0,61,51,8.7
Ja'Varius Harrison,55021,LB,E TENN ST,5,2,0,100.0,0,0,157,75.3,71.0,0.0,57.2,67.9,66.3,0,1,0,3,11.1,1,0,1,79.2,2,0,12,6,42,110,45,0,0,45,0,0,65,5,63,47,2,6,2,1,0,5,7,2.5
Ali Abbas,55033,CB,BUFFALO,6,2,0,75.0,0,0,126,53.9,57.3,77.7,55.8,70.8,61.5,0,1,0,31,14.3,1,0,0,113.5,3,0,4,44,32,68,0,0,0,0,0,5,68,2,34,15,1,4,4,1,0,47,6,15.7
Evan Gantley,55034,S,BUFFALO,1,0,0,,0,0,126,63.0,64.9,69.2,,60.0,74.8,0,0,0,,0.0,0,0,0,0.0,0,0,3,0,5,8,0,0,0,0,0,4,8,0,3,1,0,1,0,0,0,0,0,
Isaiah King,55037,CB,BUFFALO,7,4,0,68.0,0,0,126,55.6,59.1,81.5,,70.7,59.5,0,0,0,33,15.4,4,2,1,110.3,17,0,24,248,134,274,1,0,0,1,0,0,273,0,140,1,7,18,25,0,2,149,51,8.8
Shemar Hayes,55043,CB,BUFFALO,2,0,0,0.0,0,0,126,88.7,81.6,74.0,,44.7,21.4,0,0,1,,100.0,1,0,0,0.0,0,0,0,25,14,25,0,0,0,0,0,0,25,0,11,0,0,0,2,0,0,0,0,
Chibueze Onwuka,55044,DI,BOSTON COL,11,1,0,100.0,0,2,121,62.0,70.9,87.6,61.6,74.6,57.6,0,8,0,8,13.6,3,0,0,100.0,1,3,2,0,5,366,364,168,169,15,12,0,2,213,148,0,15,18,1,11,0,8,11,8.0
Devonni Reed,55046,S,C MICHIGAN,6,10,0,45.5,0,0,134,60.4,61.6,21.0,58.2,66.7,74.6,0,0,1,85,11.6,5,1,1,78.2,5,0,120,1,191,361,2,0,0,2,0,212,359,3,167,26,8,28,11,0,1,121,91,24.2
Darius Bracy,55048,HB,C MICHIGAN,1,0,0,,0,0,134,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Brandon Brown,55049,CB,C MICHIGAN,1,0,0,,0,0,134,61.5,65.6,69.3,,63.8,74.2,0,0,0,,0.0,0,0,0,0.0,0,0,2,7,2,9,0,0,0,0,0,0,9,0,7,0,0,1,0,0,0,0,0,
Troy Brown,55050,LB,C MICHIGAN,6,5,0,70.6,0,2,134,70.0,77.3,21.2,81.6,77.0,57.4,2,2,0,18,19.1,9,4,2,124.4,12,5,311,1,164,344,6,0,0,6,0,0,338,21,159,26,26,33,17,9,2,99,81,8.3
George Douglas,55053,LB,C MICHIGAN,6,7,0,85.7,0,1,134,49.9,58.0,42.8,59.9,65.6,57.1,0,2,1,26,16.4,10,0,1,85.5,18,1,406,1,209,446,23,0,0,23,0,0,423,23,214,16,26,44,21,3,0,195,114,10.8
Chuck Jones,55054,LB,C MICHIGAN,5,1,0,100.0,0,0,134,65.1,66.9,73.5,,65.3,79.1,0,0,0,-5,0.0,0,0,0,79.2,1,0,59,0,20,60,0,0,0,0,0,0,60,0,40,0,1,3,1,0,0,-5,-2,-5.0
Noah Hamlin,55070,CB,TOLEDO,1,0,0,,0,0,316,60.0,60.3,63.8,,,,0,0,0,,,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Ethan Tucky,55071,ED,CINCINNATI,10,4,0,,2,0,138,61.3,59.6,0.0,62.0,66.0,81.5,3,5,0,,0.0,0,0,4,0.0,0,2,6,0,2,232,226,0,10,133,83,0,6,147,83,0,8,6,0,10,0,0,0,
Jabari Taylor,55075,DI,CINCINNATI,10,9,0,,0,0,138,60.0,69.6,26.1,71.3,70.6,45.0,0,7,0,,15.0,3,0,2,0.0,0,1,1,0,0,260,259,171,73,1,14,0,1,166,94,0,7,8,0,8,0,0,0,
Jarell White,55079,LB,CINCINNATI,10,12,0,66.7,0,2,138,83.7,77.6,50.9,76.0,72.4,74.0,3,7,2,23,12.8,10,0,1,40.3,16,3,480,16,297,595,38,0,0,38,0,5,557,64,234,56,35,56,24,13,0,100,91,6.3
Darrick Forrest,55087,S,CINCINNATI,10,7,0,53.6,0,0,138,76.5,76.1,87.3,64.7,71.4,67.0,1,0,2,51,14.6,7,3,0,37.9,15,0,126,13,367,628,4,0,0,4,0,351,624,4,257,134,12,34,28,1,0,141,55,9.4
Coby Bryant,55088,CB,CINCINNATI,10,2,0,56.9,1,2,138,78.8,77.0,48.3,60.0,59.0,39.8,0,0,4,92,17.1,7,7,3,73.8,37,0,5,660,411,686,3,0,0,3,0,2,683,1,274,16,9,32,65,0,3,538,224,14.5
Wilson Huber,55090,LB,CINCINNATI,4,0,0,100.0,0,0,138,57.6,62.6,77.9,70.2,58.5,41.7,2,0,0,-4,66.7,2,0,0,79.2,1,1,56,0,20,58,2,0,0,2,0,0,56,13,25,0,2,1,1,3,0,-4,3,-4.0
Casey Kirk,55092,CB,CINCINNATI,1,0,0,,0,0,138,63.5,64.0,73.7,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,6,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,
Jordan Swann,55103,CB,MAINE,4,2,0,26.3,1,0,212,76.7,68.9,81.3,54.3,46.4,60.8,0,0,1,27,14.3,2,2,2,40.7,5,0,35,171,106,222,10,0,0,10,0,1,212,5,111,5,3,10,19,0,1,82,11,16.4
Darrian Beavers,55107,LB,CINCINNATI,10,13,0,57.1,0,1,138,66.1,72.3,55.5,60.1,81.4,75.4,4,4,2,26,8.5,5,2,1,43.3,16,2,449,2,282,573,96,0,0,96,0,3,477,65,226,23,25,41,28,10,0,157,57,9.8
Jarquez Bizzell,55127,LB,ELON,5,7,0,100.0,0,0,162,56.3,56.4,26.7,59.0,58.8,52.5,0,4,0,13,18.2,4,0,2,125.0,6,2,29,1,46,285,249,0,0,249,0,0,36,76,163,6,10,11,6,6,1,27,19,4.5
McAllister Ingram,55128,S,ELON,5,2,0,100.0,0,0,162,74.9,73.4,84.0,72.3,67.7,61.9,2,1,0,12,18.5,5,0,0,79.2,6,1,66,4,65,220,73,0,0,73,0,0,147,22,133,77,14,20,6,4,0,16,22,2.7
Tristen Cox,55131,DI,ELON,6,3,1,,0,0,162,,70.8,84.3,62.7,71.4,58.5,0,4,0,,7.7,1,0,0,0.0,0,0,0,0,0,240,240,174,64,0,2,0,0,93,147,0,6,9,0,4,0,0,0,
Destin Flloyd,55132,DI,ELON,5,3,0,,0,0,162,,58.9,82.9,59.5,57.4,78.5,1,3,0,,0.0,0,0,0,0.0,0,0,0,0,0,198,198,135,56,0,7,0,0,87,111,0,4,8,0,4,0,0,0,
Torrence Williams,55134,DI,ELON,6,8,0,,1,0,162,62.7,74.0,58.3,61.3,78.1,70.9,3,5,0,,8.0,2,0,1,0.0,0,1,0,0,0,356,356,6,104,81,165,0,0,152,204,0,13,15,0,9,0,0,0,
Jalen Greene,55145,CB,ELON,6,3,0,53.8,1,1,162,69.9,73.3,82.0,57.8,82.2,90.6,0,0,1,33,0.0,0,5,2,63.9,14,0,83,314,185,416,2,0,0,2,0,4,414,3,228,13,9,29,26,0,0,206,58,14.7
Benny McCray,55150,S,FIU,5,1,0,100.0,0,0,166,59.6,57.7,80.2,,52.7,29.9,0,0,0,9,37.5,3,0,0,104.2,1,0,19,1,57,118,2,0,0,2,0,50,116,0,61,46,1,4,1,0,0,9,3,9.0
Rishard Dames,55152,CB,FIU,5,2,0,75.0,0,0,166,60.3,64.5,86.2,71.2,73.0,54.7,0,0,1,44,21.6,8,3,1,114.1,27,1,35,99,165,356,10,0,0,10,0,1,346,1,190,211,11,27,36,1,3,288,164,10.7
Richard Dames,55153,S,FIU,5,6,0,60.0,0,0,166,55.1,58.3,83.8,48.7,64.2,51.1,0,2,0,28,22.9,11,1,0,81.5,9,0,105,2,148,337,6,0,0,6,0,140,331,5,184,84,14,31,15,2,0,106,60,11.8
Rashad Colson,55154,DI,FIU,4,1,0,,0,0,166,,43.1,0.0,54.0,49.4,22.7,0,2,0,,50.0,2,0,2,0.0,0,0,0,0,0,81,81,23,55,0,3,0,0,31,50,0,1,1,0,2,0,0,0,
Noah Curtis,55155,ED,FIU,5,6,0,,0,0,166,62.9,60.0,45.2,55.5,62.0,51.5,0,1,0,,15.8,3,0,1,0.0,0,0,0,0,0,196,196,0,5,178,13,0,0,89,107,0,7,10,0,1,0,0,0,
Tevin Jones,55156,ED,FIU,5,2,1,,0,1,166,60.5,71.3,82.3,67.0,69.8,67.2,1,4,0,,12.5,1,0,0,0.0,0,2,1,0,1,148,147,0,4,137,6,0,1,73,74,0,5,5,0,7,0,0,0,
Kevin Oliver,55157,ED,FIU,5,3,0,,0,0,166,60.0,67.3,24.7,60.6,76.0,58.5,1,11,0,,16.7,3,0,2,0.0,0,0,2,0,0,250,248,0,38,170,40,0,2,119,131,0,9,12,0,12,0,0,0,
Josh Powell,55159,LB,FIU,5,3,0,0.0,0,0,166,71.3,61.6,81.3,54.4,53.4,54.0,2,2,0,,25.0,7,0,0,39.6,0,0,148,1,71,192,22,0,0,22,0,0,170,11,110,21,12,18,1,4,0,0,0,
Romelo Brooks,55160,LB,FIU,1,0,0,,0,0,166,60.0,60.6,64.1,,,,0,0,0,,,0,0,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jamal Gates,55162,LB,FIU,5,8,0,66.7,0,0,166,54.0,56.1,82.1,56.2,58.4,35.7,1,4,0,10,26.5,9,0,0,73.6,4,0,249,0,109,295,31,0,0,31,0,2,264,23,163,13,10,17,6,5,0,23,28,5.8
Dorian Hall,55168,S,FIU,5,5,0,57.1,0,0,166,76.9,69.1,26.5,60.0,57.4,62.7,0,0,0,9,16.1,5,2,1,62.8,4,0,69,4,155,348,28,0,0,28,0,202,320,1,192,45,4,21,7,0,0,22,14,5.5
Daniel Jackson,55169,LB,FIU,5,2,0,80.0,0,0,166,66.9,74.1,77.8,,74.4,75.6,0,0,0,21,0.0,0,0,0,96.7,4,0,48,1,19,60,7,0,0,7,0,2,53,0,41,2,3,9,5,0,0,36,40,9.0
Hardrick Willis,55183,ED,GA STATE,9,5,0,,1,1,175,64.6,75.9,29.4,71.6,77.4,79.3,2,23,0,,11.1,2,0,3,0.0,0,7,0,0,0,500,499,1,40,152,306,0,1,298,202,0,11,11,0,32,0,0,0,
Dontae Wilson,55185,DI,GA STATE,8,8,0,100.0,0,0,175,60.3,81.4,39.0,73.0,85.5,60.6,6,12,0,2,12.1,4,0,2,79.2,1,0,5,0,0,386,380,146,91,9,134,0,6,235,151,0,15,21,1,18,0,2,6,2.0
Victor Heyward,55187,LB,GA STATE,9,3,0,68.0,0,1,175,56.3,59.5,46.9,60.7,65.5,58.7,2,3,1,19,17.6,6,1,1,81.8,17,1,85,3,169,362,122,0,0,122,0,2,240,61,132,149,10,25,25,6,1,158,89,9.3
Trajan Stephens-McQueen,55189,LB,GA STATE,9,15,0,89.5,0,0,175,77.8,75.8,17.4,60.4,75.4,65.1,3,6,1,17,13.3,10,1,3,74.6,17,2,577,0,295,587,5,0,0,5,0,1,582,53,239,3,25,50,19,11,0,136,141,8.0
Jhi'Shawn Taylor,55190,ED,GA STATE,9,2,0,100.0,0,1,175,54.7,65.6,85.3,75.1,58.5,56.6,3,5,0,10,22.2,2,0,0,108.3,1,2,23,1,36,179,146,0,0,146,0,0,33,77,66,9,5,5,1,10,0,10,1,10.0
Chris Bacon,55196,S,GA STATE,10,11,0,75.0,0,0,175,53.1,56.5,83.4,58.5,63.1,65.5,0,0,0,50,14.0,6,1,0,156.3,12,0,138,1,209,330,2,0,0,2,0,107,328,2,119,81,11,26,16,0,2,217,35,18.1
Jaylon Jones,55197,CB,GA STATE,10,0,0,48.6,0,0,175,65.0,67.3,85.4,73.8,72.0,61.9,0,0,0,49,15.9,7,8,5,84.5,36,1,55,612,420,685,0,0,0,0,0,13,685,1,264,4,11,37,74,1,4,424,99,11.8
Jordan Strachan,55198,ED,GA STATE,10,10,0,63.6,1,3,175,50.7,78.1,24.4,90.2,76.5,76.7,4,22,0,18,11.8,4,0,4,111.2,7,11,44,9,95,576,502,0,0,501,1,0,74,251,230,20,23,20,11,37,1,68,19,9.7
T.J. Arnold,55206,ED,GA STATE,1,0,0,,0,0,175,,49.2,0.0,59.1,63.6,70.2,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,8,8,0,1,0,7,0,0,3,5,0,1,1,0,0,0,0,0,
Adam Beck,55211,S,TEXAS TECH,8,3,0,90.0,0,1,315,67.5,66.4,14.8,65.9,64.7,60.4,1,1,0,20,16.7,4,1,1,102.1,9,1,59,3,91,223,32,0,0,32,0,31,191,11,121,97,9,17,10,3,0,85,47,9.4
Justus Harris,55215,S,MINNESOTA,7,5,0,76.9,0,1,225,73.6,75.4,80.6,66.6,77.9,89.2,1,0,0,22,0.0,0,1,0,115.2,10,0,82,4,139,242,6,0,0,6,0,0,236,6,97,150,5,16,13,1,1,73,55,7.3
Noah Hickcox,55219,DI,MINNESOTA,4,0,0,,0,0,225,,56.1,77.8,63.2,49.9,73.8,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,68,68,7,58,0,3,0,0,43,25,0,3,3,0,1,0,0,0,
Boye Mafe,55220,ED,MINNESOTA,6,1,1,,0,2,225,65.8,71.0,87.5,85.8,51.7,71.4,2,7,0,,14.3,3,0,0,0.0,0,6,0,0,12,259,258,0,6,250,2,0,1,117,130,0,13,17,0,15,0,0,0,
Esezi Otomewo,55221,ED,MINNESOTA,7,5,0,,0,0,225,60.8,68.4,63.0,60.5,72.9,73.9,4,12,0,,6.3,1,0,1,0.0,0,1,1,0,1,357,354,0,23,317,14,0,3,181,175,1,6,10,0,17,0,0,0,
Rod Haygood,55254,S,PRESBYTERN,6,3,0,43.5,0,2,271,69.5,73.0,84.9,,78.0,70.8,0,0,1,27,7.4,2,2,2,42.3,10,0,107,3,160,408,0,0,0,0,0,24,408,0,248,274,5,22,23,0,0,122,31,12.2
Trent Carrington,55255,S,PRESBYTERN,4,7,0,25.0,0,0,271,74.0,77.1,83.5,56.6,78.3,62.3,0,0,0,21,15.6,5,1,0,49.0,1,0,227,0,91,292,11,0,0,11,0,29,281,3,198,25,10,20,4,0,0,21,10,21.0
Colin Torres,55261,DI,PRESBYTERN,4,0,0,100.0,0,0,271,56.0,37.8,77.6,60.0,31.3,26.0,0,2,0,13,33.3,1,0,0,118.8,1,0,0,0,4,82,82,0,82,0,0,0,0,43,35,0,1,2,1,2,0,13,17,13.0
Tyler Wilhelm,55262,DI,PRESBYTERN,1,0,0,,0,0,271,,49.5,74.4,57.3,48.6,69.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,32,32,1,31,0,0,0,0,16,16,0,1,1,0,0,0,0,0,
Austin Brundidge,55268,ED,ALABAMA ST,5,2,0,,0,2,105,91.3,76.5,85.6,63.4,62.4,56.6,0,5,0,,16.7,2,0,0,0.0,0,0,28,0,24,146,118,0,0,118,0,0,28,58,64,0,7,8,0,5,0,0,0,
Michael Malinovsky,55269,ED,PRESBYTERN,4,0,1,,0,0,271,61.7,47.4,82.9,50.9,43.9,79.0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,1,175,175,0,0,119,56,0,0,83,91,0,5,8,0,0,0,0,0,
Colby Campbell,55272,LB,PRESBYTERN,6,22,1,61.5,0,1,271,64.9,87.7,0.4,69.2,91.8,84.8,2,4,0,22,6.4,5,0,2,98.2,8,1,407,0,159,439,16,0,0,16,0,0,423,33,247,16,28,51,13,7,1,60,37,7.5
Tre Lanham,55274,DI,PRESBYTERN,6,8,0,,0,1,271,59.2,65.9,62.2,58.1,69.5,81.9,1,3,0,,0.0,0,1,1,0.0,0,1,1,0,1,401,400,2,398,0,0,0,1,168,232,0,12,13,0,5,0,0,0,
Tanner Wilhelm,55282,ED,PRESBYTERN,6,2,0,,0,1,271,64.1,72.8,10.8,76.6,70.0,58.7,0,13,0,,12.9,4,0,4,0.0,0,2,0,0,1,389,389,0,0,340,49,0,0,164,224,0,19,25,0,15,0,0,0,
Malik Gavek,55284,S,RHODE ISLD,1,0,0,0.0,0,0,274,45.8,33.3,68.8,,49.8,21.6,0,0,0,,100.0,1,0,0,39.6,0,0,2,0,2,6,0,0,0,0,0,2,6,0,4,2,0,0,1,0,0,0,0,
Henry Yianakopolos,55285,S,RHODE ISLD,3,1,0,100.0,0,0,274,57.6,58.2,82.5,58.7,59.0,59.2,0,0,0,17,15.8,3,0,0,113.3,5,0,30,1,49,123,9,0,0,8,1,57,114,2,72,26,2,15,5,0,0,56,36,11.2
Emil La Marca,55288,DI,RHODE ISLD,3,1,0,,0,0,274,,53.4,74.3,58.3,53.3,70.8,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,19,19,7,0,1,11,0,0,8,11,0,0,0,0,0,0,0,0,
Jake Fire,55299,LB,RHODE ISLD,3,4,0,40.0,0,0,274,54.0,53.4,78.4,54.5,56.1,55.2,0,0,0,8,15.4,2,0,0,47.9,2,0,78,0,29,83,1,0,0,1,0,0,82,5,49,4,3,7,5,0,0,14,12,7.0
James Green,55331,LB,TENN STATE,7,7,0,66.7,0,1,308,72.8,71.4,83.5,62.7,67.8,75.3,6,1,1,21,8.3,3,2,0,85.9,12,0,338,0,189,412,36,0,0,36,0,1,376,24,199,37,13,26,18,7,1,142,106,11.8
Michael Crawford,55332,LB,TENN STATE,4,2,0,,0,0,308,62.2,59.3,0.0,66.0,65.5,45.7,0,0,0,,22.2,2,0,1,0.0,0,1,3,0,6,55,47,0,0,47,0,0,8,6,43,5,5,5,0,1,0,0,0,
Justin Brown,55334,ED,TENN STATE,6,4,2,,0,0,308,65.5,71.4,24.6,57.2,79.9,52.9,0,6,0,,18.8,3,0,2,0.0,0,1,1,0,2,265,264,0,2,173,89,0,1,131,132,0,8,9,0,7,0,0,0,
Tycen Anderson,55351,S,TOLEDO,6,3,0,35.7,0,0,316,80.6,80.5,84.6,80.5,73.9,74.0,0,1,0,16,8.0,2,2,1,44.3,5,1,140,6,191,359,33,0,0,33,0,48,326,15,153,132,10,20,14,2,0,35,19,7.0
Zachary Ford,55353,S,TOLEDO,4,3,0,57.1,0,0,316,65.3,68.9,79.2,71.6,67.9,76.3,0,1,0,43,6.7,1,0,0,123.8,4,1,38,3,53,101,6,0,0,6,0,28,95,5,43,26,5,11,7,2,1,58,10,14.5
Nate Givhan,55355,ED,TOLEDO,5,2,0,,0,0,316,74.8,68.4,27.6,75.9,50.5,69.5,3,6,1,,11.1,1,0,1,0.0,0,0,22,1,21,143,118,0,0,117,1,0,25,69,53,2,4,6,0,9,0,0,0,
Devonte' Dunn,55356,DI,TOLEDO,3,1,0,,0,0,316,,47.8,74.0,55.6,48.0,69.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,21,21,0,11,5,5,0,0,13,8,0,0,0,0,0,0,0,0,
AJ Crider,55360,LB,TOLEDO,4,3,0,100.0,0,0,316,66.9,63.2,75.4,63.2,53.1,58.0,0,1,0,11,16.7,1,0,0,87.5,3,1,60,0,35,66,2,0,0,2,0,0,64,10,21,4,3,2,3,2,0,15,10,5.0
Tadarrius Patterson,55361,ED,TENN STATE,5,1,0,,0,0,308,,55.2,7.8,57.4,59.4,22.1,2,4,0,,50.0,4,0,2,0.0,0,0,1,0,0,162,161,0,1,119,41,0,1,66,96,0,3,3,0,6,0,0,0,
Antwan Collier,55376,S,UCF,5,3,0,36.4,0,1,323,35.5,44.4,82.8,63.8,61.3,64.6,1,1,0,31,15.4,4,2,1,86.2,4,0,105,2,142,272,1,0,0,1,0,149,271,5,125,15,2,19,11,2,1,62,33,15.5
Zamari Maxwell,55377,CB,UCF,8,3,0,69.0,3,0,323,48.8,51.8,21.0,92.3,57.9,70.7,0,2,0,48,9.5,2,2,6,146.1,20,0,24,287,170,345,6,0,0,6,0,0,339,1,174,28,1,16,29,2,3,385,87,19.3
Jon Powell,55379,S,UCF,4,0,0,100.0,0,0,323,53.4,51.4,78.5,,51.6,78.0,0,0,0,27,0.0,0,0,0,158.3,1,0,10,0,21,40,6,0,0,5,1,21,34,0,19,3,2,2,1,0,1,27,9,27.0
Mason Cholewa,55382,DI,UCF,4,1,0,,0,0,323,54.5,65.7,84.2,62.5,67.3,73.3,1,3,0,,0.0,0,0,0,0.0,0,0,0,0,2,92,92,80,11,0,1,0,0,49,41,0,3,3,0,4,0,0,0,
Stephon Zayas,55395,ED,UCF,8,2,1,,0,0,323,82.2,62.7,83.5,55.7,56.1,51.7,1,4,1,,14.3,1,0,0,0.0,0,0,1,0,9,193,192,0,4,176,12,0,1,86,98,0,2,4,0,5,0,0,0,
Austin Camden,55408,DI,UCF,4,0,0,,0,0,323,,59.3,76.2,61.1,57.3,,0,1,0,,,0,0,0,0.0,0,0,0,0,0,23,23,12,11,0,0,0,0,14,9,0,0,0,0,1,0,0,0,
Emmanuel Logan-Greene,55409,WR,NEW MEXICO,1,0,0,,0,0,241,,60.1,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Anthony Montalvo,55417,DI,UCF,10,5,1,,1,0,323,61.7,55.5,65.9,58.3,53.2,30.4,6,9,0,,25.0,7,0,1,0.0,0,1,0,0,0,495,495,53,373,25,44,0,0,249,246,0,12,16,0,16,0,0,0,
Coby Davis,55425,S,WAKE,1,0,0,100.0,0,0,339,71.0,62.3,76.8,60.0,42.0,34.4,0,0,0,11,33.3,2,0,0,97.9,2,0,10,0,15,31,3,0,0,3,0,4,28,2,14,13,1,4,2,0,0,15,6,7.5
Ja'Sir Taylor,55426,CB,WAKE,9,4,0,61.7,2,1,339,72.9,68.0,84.5,44.8,51.5,64.9,0,1,2,54,14.3,7,5,5,77.2,29,0,84,455,318,629,2,0,0,2,0,0,627,9,302,87,14,38,47,1,1,387,184,13.3
Troy Simon,55427,S,TOLEDO,3,1,0,50.0,0,0,316,59.0,58.9,79.0,,58.0,57.8,0,0,0,16,16.7,1,1,0,104.2,2,0,40,5,70,100,0,0,0,0,0,38,100,0,30,17,3,4,4,0,1,20,8,10.0
Tyriq Hardimon,55428,CB,WAKE,4,1,0,42.9,0,0,339,48.7,49.5,75.9,,57.8,68.8,0,0,0,24,14.3,1,2,0,63.4,3,0,1,48,30,54,0,0,0,0,0,0,54,0,24,3,0,5,7,0,0,43,5,14.3
Adam Winter,55431,DI,WAKE,4,0,0,,0,0,339,,63.9,75.8,56.2,66.1,22.5,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,26,26,10,15,0,1,0,0,11,15,0,1,1,0,0,0,0,0,
Tyler Williams,55432,DI,WAKE,3,2,0,,0,0,339,,56.9,0.0,61.4,59.3,73.6,0,2,0,,0.0,0,0,1,0.0,0,0,0,0,0,63,63,1,60,2,0,0,0,31,32,0,1,1,0,2,0,0,0,
DJ Taylor,55438,LB,WAKE,5,3,0,75.0,0,0,339,55.8,51.2,76.8,76.0,42.4,37.5,0,0,0,46,30.0,3,0,0,156.3,3,0,82,0,43,95,1,0,0,1,0,0,94,6,46,12,3,4,4,0,1,59,36,19.7
Chase Monroe,55439,LB,WAKE,9,7,0,75.0,0,0,339,49.7,52.3,81.7,74.2,52.5,50.4,1,0,0,32,18.2,4,0,0,116.7,3,1,147,0,64,163,9,0,0,9,0,0,154,7,92,6,8,11,4,2,0,56,28,18.7
Koy Richardson,55560,CB,ABILENE CH,6,1,0,57.1,0,0,100,43.3,50.3,82.3,,70.4,36.1,0,0,0,62,15.4,2,0,0,125.6,8,0,16,102,80,177,7,0,0,7,0,32,170,0,97,20,2,10,14,0,1,208,99,26.0
Malik Hausman,55567,CB,ARIZONA,2,0,0,33.3,0,0,109,36.9,43.8,73.7,,69.9,78.5,0,0,0,20,0.0,0,0,0,57.6,1,0,2,18,11,22,1,0,0,1,0,0,21,0,11,1,1,3,3,0,0,20,8,20.0
Azizi Hearn,55569,CB,WYOMING,6,3,0,56.5,0,0,351,68.0,63.4,0.0,,61.3,79.9,0,0,0,29,6.3,1,4,6,89.4,13,0,37,345,207,391,0,0,0,0,0,2,391,0,184,6,3,12,23,0,1,142,66,10.9
Antonio Phillips,55572,CB,BALL ST,8,3,0,52.4,0,0,117,71.5,69.6,40.8,57.1,58.9,77.9,0,0,2,27,8.8,3,4,4,65.0,22,0,19,504,318,550,1,0,0,1,0,10,549,2,230,16,2,28,42,0,2,234,59,10.6
Timarcus Davis,55574,CB,ARIZONA ST,4,1,0,43.8,0,0,110,62.1,61.2,0.0,60.0,62.8,71.8,0,0,0,38,8.3,1,3,2,87.2,7,0,15,201,117,223,1,0,0,1,0,1,222,1,105,4,3,10,16,0,1,107,10,15.3
Elijah Hicks,55584,S,CAL,4,6,0,42.9,0,0,130,62.1,62.1,84.1,60.0,60.8,70.8,0,0,1,17,12.5,4,1,1,17.9,3,0,62,4,124,261,12,0,0,12,0,158,249,1,136,25,9,22,7,0,0,33,6,11.0
LeAnthony Williams,55585,CB,CLEMSON,9,1,0,50.0,1,0,140,50.5,55.0,78.9,58.3,79.7,83.1,0,0,0,9,0.0,0,0,3,61.8,3,0,4,111,74,115,0,0,0,0,0,0,115,1,40,0,2,7,6,0,0,26,16,8.7
Chris Miller,55588,CB,COLORADO,2,1,0,66.7,0,0,143,58.4,63.3,80.0,66.3,70.7,47.1,0,2,0,15,25.0,1,0,1,74.3,2,0,11,1,33,59,5,0,0,5,0,1,54,9,17,41,2,2,3,2,0,12,17,6.0
Josh Blackwell,55589,CB,DUKE,2,1,0,75.0,0,0,154,63.0,64.7,77.4,73.0,61.5,40.7,1,0,0,27,28.6,2,0,0,115.6,3,0,7,67,50,88,0,0,0,0,0,0,88,2,36,13,1,4,4,1,0,49,46,16.3
