player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jay Stanley,98889,CB,OLE MISS,4,0,0,100.0,0,0,226,56.9,52.2,79.1,58.7,47.3,50.5,0,0,0,19,20.0,1,1,0,158.3,3,0,5,4,17,43,10,0,0,10,0,0,33,4,22,23,2,4,3,0,1,40,7,13.3
Jakwaize Walker,98890,S,OLE MISS,1,0,0,,0,0,226,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Stacy Brown,98892,S,MISSOURI,2,0,0,,0,0,229,,53.4,74.3,,53.2,33.9,0,0,0,,50.0,1,0,0,0.0,0,0,1,2,0,10,5,0,0,5,0,0,5,0,10,2,1,1,0,0,0,0,0,
Ishmael Burdine,98893,CB,MISSOURI,8,1,0,66.7,1,0,229,42.2,38.2,83.4,,28.3,39.9,0,0,0,75,26.7,4,2,1,149.3,20,0,9,220,152,267,7,0,0,7,0,0,260,0,115,31,2,10,30,0,4,387,148,19.4
Camden Coleman,98897,S,VANDERBILT,3,0,0,,0,0,333,61.5,42.7,67.6,,39.7,25.9,0,0,0,,100.0,1,0,0,0.0,0,0,5,0,2,9,1,0,0,1,0,0,8,0,7,2,0,0,0,0,0,0,0,
Taj Dodson,98898,S,KENTUCKY,3,0,0,0.0,0,0,202,64.1,48.9,0.0,,55.7,22.2,0,0,0,,100.0,1,0,1,39.6,0,0,2,0,12,16,0,0,0,0,0,13,16,0,4,1,0,0,1,0,0,0,0,
Moses Douglass,98899,S,KENTUCKY,3,0,0,,0,0,202,62.5,56.8,70.7,,53.7,22.2,0,0,0,,100.0,1,0,0,0.0,0,0,3,0,4,9,0,0,0,0,0,5,9,0,5,1,0,0,0,0,0,0,0,
Brandin Echols,98900,CB,KENTUCKY,11,9,0,76.0,1,0,202,66.2,67.7,0.0,59.6,82.0,68.1,0,0,1,42,13.4,9,0,3,104.3,38,0,35,481,345,626,5,0,0,5,0,5,621,1,280,99,10,49,50,0,2,406,203,10.7
Jalen Geiger,98901,S,KENTUCKY,5,1,0,,0,0,202,65.6,68.0,75.6,,67.1,80.0,0,0,0,,0.0,0,0,0,0.0,0,0,3,0,11,23,0,0,0,0,0,13,23,0,12,6,0,2,0,0,0,0,0,
Quandre Mosely,98902,S,KENTUCKY,9,3,0,55.6,0,0,202,56.0,59.7,80.4,,67.9,67.0,0,0,0,20,17.6,3,1,0,116.0,5,0,35,19,77,144,0,0,0,0,0,62,144,0,67,27,2,11,9,0,1,66,18,13.2
Maurice Hampton Jr.,98903,S,LSU,8,2,0,66.7,0,0,211,54.8,55.9,85.0,58.5,57.7,41.8,1,0,0,16,26.5,9,0,0,81.9,4,0,117,4,211,362,1,0,0,1,0,171,361,3,148,68,3,23,6,1,0,35,13,8.8
Ledarrius Cox,98905,DI,OLE MISS,10,3,0,,0,0,226,,45.2,30.8,58.3,41.6,56.0,1,0,0,,20.0,1,0,1,0.0,0,0,1,0,0,154,153,6,82,7,58,0,1,77,77,0,1,1,0,1,0,0,0,
Jack Harris,98908,ED,MISS STATE,9,4,0,,0,0,227,59.3,47.0,81.7,53.9,42.9,45.6,1,3,0,,25.0,3,0,0,0.0,0,0,4,0,2,150,146,0,45,75,26,0,4,83,65,0,4,5,0,4,0,0,0,
Zacch Pickens,98911,DI,S CAROLINA,10,13,0,,1,0,289,67.7,61.8,64.0,56.0,63.6,61.4,0,5,0,,10.0,4,0,1,0.0,0,1,0,0,0,445,445,77,337,5,26,0,0,206,239,0,13,23,0,6,0,0,0,
Joseph Anderson,98913,ED,S CAROLINA,4,3,0,,0,0,289,60.0,59.4,79.1,59.4,58.1,78.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,59,59,0,5,42,12,0,0,12,47,0,0,2,0,0,0,0,0,
Devontae Davis,98914,DI,S CAROLINA,1,0,0,,0,0,289,,57.2,65.8,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Elijah Simmons,98915,DI,TENNESSEE,10,3,1,,0,0,307,,42.0,81.4,60.2,34.9,76.4,1,1,0,,0.0,0,0,0,0.0,0,0,1,0,0,163,162,59,103,0,0,0,1,67,96,0,2,4,0,2,0,0,0,
